日付,コ_ド,_柄名,市_·商品区分,33__コ_ド,33__区分,17__コ_ド,17__区分,_模コ_ド,_模区分
20220729,6090,ヒュ_マン·メタボロ_ム·テクノロジ_ズ,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6091,ウエスコホ_ルディングス,スタンダ_ド（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6092,エンバイオ·ホ_ルディングス,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6093,エスクロ_·エ_ジェント·ジャパン,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
20220729,6094,フリ_クアウト·ホ_ルディングス,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6095,メドピア,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,6,TOPIX Small 1
20220729,6096,レアジョブ,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
20220729,6098,リクル_トホ_ルディングス,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,1,TOPIX Core30
20220729,6099,エラン,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,6,TOPIX Small 1
20220729,6101,ツガミ,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6103,オ_クマ,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6104,芝浦_械,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6113,アマダ,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6118,アイダエンジニアリング,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6121,___工所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6125,_本工作_械_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6131,浜井__,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6134,ＦＵＪＩ,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6135,牧野フライス_作所,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6136,オ_エスジ_,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6137,小池酸素工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6138,ダイジェット工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6140,旭ダイヤモンド工_,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6141,ＤＭＧ森精_,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6143,ソディック,プライム（内国株式）,3600,_械,8,_械 ,6,TOPIX Small 1
20220729,6144,西部__,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6145,ＮＩＴＴＯＫＵ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6146,ディスコ,プライム（内国株式）,3600,_械,8,_械 ,4,TOPIX Mid400
20220729,6147,ヤマザキ,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6149,小田原エンジニアリング,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6150,タケダ_械,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6151,日_工器,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6155,高松_械工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6156,エ_ワン精密,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6157,日_工具,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6158,和井田_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6159,ミクロン精密,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6161,エスティック,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6164,太_工_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,-,-
20220729,6165,パンチ工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6166,中村超硬,グロ_ス（内国株式）,3600,_械,8,_械 ,-,-
20220729,6167,_士ダイス,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6168,オ_ジックグル_プ,PRO Market,3600,_械,8,_械 ,-,-
20220729,6171,土木管理_合__所,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
